32360|Bixby, Jerome (1923-1998)|The Holes Around Mars|PS|Mars (Planet) -- Fiction; Short stories; Science fiction|32360.txt
30715|Bixby, Jerome (1923-1998)|Where There's Hope|PS|Short stories; Science fiction|30715.txt
29750|Bixby, Jerome (1923-1998)|Zen|PS|Science fiction; Short stories|29750.txt
30476|Blade, Alexander|Zero Hour|PS|Science fiction; Short stories|30476.txt
32801|Blade, Alexander|The Plotters|PS|Short stories; Love stories; Science fiction; Human-alien encounters -- Fiction|32801.txt
32498|Blade, Alexander|The Brain|PS|Artificial intelligence -- Fiction; Science fiction|32498.txt
29676|Blade, Zoë|Identity|PR|Science fiction; Short stories|29676-8.txt
29675|Blade, Zoë|Less than Human|PR|Science fiction; Assassins -- Fiction; Short stories|29675-8.txt
22958|Blish, James (1921-1975)|One-Shot|PS|Short stories; Science fiction|22958.txt
32447|Blish, James (1921-1975)|The Thing in the Attic|PS|Science fiction|32447.txt
25776|Bloch, Robert (1917-1994)|This Crowded Earth|PS|Science fiction, American|25776.txt
29698|Bond, Nelson Slade (1908-2006)|Lighter Than You Think|PS|Short stories; Science fiction|29698.txt
32124|Bone, Jesse F. (Jesse Franklin) (1916-2006)|To Choke an Ocean|PS|Science fiction|32124.txt
2509|Bone, Jesse F. (Jesse Franklin) (1916-2006)|The Lani People|PS|Science fiction; Human-alien encounters -- Fiction|2509.txt
31701|Bone, Jesse F. (Jesse Franklin) (1916-2006)|Noble Redman|PS|Mars (Planet) -- Fiction; Short stories; Science fiction|31701.txt
29271|Bone, Jesse F. (Jesse Franklin) (1916-2006)|The Issahar Artifacts|PS|Short stories; Science fiction|29271.txt
32237|Bone, Jesse F. (Jesse Franklin) (1916-2006)|Assassin|PS|Science fiction; Assassins -- Fiction|32237.txt
26332|Bone, Jesse F. (Jesse Franklin) (1916-2006)|A Prize for Edie|PS|Science fiction, American|26332.txt
26206|Bone, Jesse F. (Jesse Franklin) (1916-2006)|Pandemic|PS|Medical fiction; Science fiction; Short stories|26206.txt
32272|Bone, Jesse F. (Jesse Franklin) (1916-2006)|Insidekick|PS|Science fiction|32272.txt
26772|Bone, Jesse F. (Jesse Franklin) (1916-2006)|A Question of Courage|PS|Science fiction; Short stories; War stories|26772.txt
28063|Bova, Ben|The Next Logical Step|PS|Science fiction; Short stories|28063.txt
32636|Boyd, Waldo T. (1918-2012)|The Salesman|PS|Robots -- Fiction; Short stories; Sales personnel -- Fiction; Science fiction|32636.txt
22544|Brackett, Leigh Douglass (1915-1978)|A World is Born|PS|Science fiction|22544.txt
32664|Brackett, Leigh Douglass (1915-1978)|Black Amazon of Mars|PS|Science fiction; Mars (Planet) -- Fiction|32664.txt
19726|Bradley, Marion Zimmer (1930-1999)|The Door Through Space|PS|Science fiction|19726.txt
28650|Bradley, Marion Zimmer (1930-1999)|Year of the Big Thaw|PS|Science fiction; Short stories|28650.txt
31619|Bradley, Marion Zimmer (1930-1999)|The Planet Savers|PS|Darkover (Imaginary place) -- Fiction; Science fiction; Life on other planets -- Fiction|31619.txt
20796|Bradley, Marion Zimmer (1930-1999)|The Colors of Space|PS|Science fiction|20796-8.txt
32266|Bretnor, Reginald (1911-1992)|Sugar Plum|PS|Short stories; Science fiction|32266.txt
29060|Breuer, Miles John (1889-1945)|The Einstein See-Saw|PS|Science fiction|29060-8.txt
32765|Brooks, Kirby|All That Goes Up|PS|Inventors -- Fiction; Short stories; Science fiction|32765.txt
32281|Brown, Clyde|First Man|PS|Space flight to the moon -- Fiction; Short stories; Science fiction|32281.txt
31306|Brown, Florence Verbell|Bride of the Dark One|PS|Science fiction; Short stories|31306.txt
29948|Brown, Fredric (1906-1972)|Two Timer|PS|Short stories; Science fiction|29948.txt
29720|Brown, Fredric (1906-1972)|Hall of Mirrors|PS|Science fiction; Short stories|29720-8.txt
26521|Brown, Fredric (1906-1972)|Earthmen Bearing Gifts|PS|Mars (Planet) -- Fiction; Short stories; Science fiction|26521.txt
29142|Brown, Fredric (1906-1972)|Keep Out|PS|Short stories; Mars (Planet) -- Fiction; Science fiction|29142.txt
30884|Brown, Rosel George (1926-1967)|Step IV|PS|Science fiction; Short stories; Man-woman relationships -- Fiction|30884.txt
31758|Browne, Howard (1907-1999)|Call Him Savage|PS|Science fiction|31758.txt
26855|Browne, Howard (1907-1999)|Hard Guy|PS|Short stories; Science fiction|26855.txt
32564|Browne, Howard (1907-1999)|Twelve Times Zero|PS|Science fiction; Murder -- Fiction; Detective and mystery stories|32564.txt
31282|Browne, Howard (1907-1999)|Mars Confidential|PS|Short stories; Mafia -- Fiction; Science fiction; Mars (Planet) -- Fiction|31282.txt
31009|Brudy, John|If at First You Don't...|PS|Science fiction; Short stories; Political fiction; Satellites -- Fiction|31009.txt
22967|Budrys, Algis (1931-2008)|The Stoker and the Stars|PS|Short stories; Science fiction|22967.txt
34420|Budrys, Algis (1931-2008)|Riya's Foundling|PS|Human-alien encounters -- Fiction; Telepathy -- Fiction; Short stories; Science fiction|34420.txt
26191|Budrys, Algis (1931-2008)|Citadel|PS|Science fiction; Space colonies -- Fiction|26191.txt
30828|Budrys, Algis (1931-2008)|The Barbarians|PS|Science fiction|30828.txt
29466|Burks, Arthur J. (1898-1974)|Lords of the Stratosphere|PS|Science fiction|29466.txt
29416|Burks, Arthur J. (1898-1974)|The Mind Master|PS|Science fiction|29416.txt
29976|Burton, Russell|Weak on Square Roots|PS|Robots -- Fiction; Science fiction; Short stories|29976.txt
30867|Calin, Harold|What Need of Man?|P|Short stories; Space flight to the moon -- Fiction; Science fiction|30867.txt
37145|Campbell, John Scott|The Image and the Likeness|PS|Science fiction; East and West -- Fiction; Giants -- Fiction|37145.txt
20707|Campbell, John W., Jr. (John Wood) (1910-1971)|The Black Star Passes|PS|Science fiction; Extraterrestrial beings -- Fiction|20707-8.txt
27462|Campbell, John W., Jr. (John Wood) (1910-1971)|The Last Evolution|PS|Science fiction; Short stories|27462.txt
20154|Campbell, John W., Jr. (John Wood) (1910-1971)|Invaders from the Infinite|PS|Science fiction|20154-8.txt
23790|Campbell, John W., Jr. (John Wood) (1910-1971)|The Ultimate Weapon|PS|Science fiction|23790.txt
20988|Campbell, John W., Jr. (John Wood) (1910-1971)|Islands of Space|PS|Science fiction; Extraterrestrial beings -- Fiction|20988.txt
17958|Carr, Terry Gene (1937-1987)|Warlord of Kor|PS|Science fiction|17958.txt
23160|Carroll, William (1915-2014)|Solomon's Orbit|PS|Science fiction; Short stories|23160.txt
32207|Castle, Arnold|A Mixture of Genius|PS|Science fiction; Short stories; Fathers and sons -- Fiction|32207.txt
24977|Castle, Arnold|The Perfectionists|PS|Short stories; Science fiction|24977.txt
32550|Cathal, Michael|Rich Living|PS|Science fiction; Rejuvenation -- Fiction|32550.txt
29625|Causey, James (1924-2003)|Teething Ring|PS|Short stories; Science fiction|29625.txt
29632|Causey, James (1924-2003)|Competition|PS|Science fiction; Short stories|29632.txt
31922|Causey, James (1924-2003)|Felony|PS|Human-alien encounters -- Fiction; Short stories; Science fiction|31922.txt
27434|Chapman, S. E. (Samuel E.)|Doctor Jones' Picnic|PS|Imaginary wars and battles -- Fiction; Science fiction|27434-8.txt
32229|Clarke, Jay|High Man|PS|Short stories; Epistolary fiction; Inventions -- Fiction; Man-woman relationships -- Fiction; Science fiction|32229.txt
27595|Clifton, Mark (1906-1963)|Eight Keys to Eden|PS|Life on other planets -- Fiction; Science fiction|27595-8.txt
22513|Clifton, Mark (1906-1963)|Sense from Thought Divide|PS|Science fiction; Parapsychology -- Fiction|22513-8.txt
32833|Clifton, Mark (1906-1963)|A Woman's Place|PS|Man-woman relationships -- Fiction; Science fiction; Robinsonades|32833.txt
32131|Clifton, Mark (1906-1963)|The Kenzie Report|PS|Short stories; Ants -- Fiction; Science fiction|32131.txt
32181|Clifton, Mark (1906-1963)|Do Unto Others|PS|Human-alien encounters -- Fiction; Science fiction; Aunts -- Fiction|32181.txt
35759|Clinton, Ed M. (1926-2006)|Security Risk|PS|Short stories; Science fiction|35759-8.txt
23147|Clinton, Ed M. (1926-2006)|Untechnological Employment|PS|Epistolary fiction; Short stories; Science fiction|23147.txt
32079|Clinton, Ed M. (1926-2006)|The Small World of M-75|PS|Robots -- Fiction; Science fiction; Short stories|32079.txt
13931|Cobban, J. Maclaren (James Maclaren) (1849-1903)|Master of His Fate|PR|Science fiction, English|13931-8.txt
28453|Coblentz, Stanton A. (Stanton Arthur) (1896-1982)|Flight Through Tomorrow|PS|Short stories; Science fiction|28453.txt
32899|Coblentz, Stanton A. (Stanton Arthur) (1896-1982)|The Cosmic Deflector|PS|Science fiction; Short stories|32899.txt
22545|Cocking, Ron|Warning from the Stars|PS|Science fiction; Short stories|22545-8.txt
32853|Cogan, Alan|In the Cards|PS|Science fiction; Time travel -- Fiction; Short stories|32853.txt
30382|Coggins, Frank W.|"Say ""Hello"" for Me"|PS|Mars (Planet) -- Fiction; Short stories; Science fiction|30382.txt
24180|Cole, Everett B. (1918-1977)|Alarm Clock|PS|Prisoners -- Fiction; Science fiction|24180.txt
23339|Cole, Everett B. (1918-1977)|Indirection|PS|Science fiction; Extraterrestrial beings -- Fiction|23339-8.txt
22892|Cole, Everett B. (1918-1977)|The Best Made Plans|PS|Science fiction|22892.txt
22426|Cole, Everett B. (1918-1977)|The Players|PS|Science fiction; Short stories|22426-8.txt
24779|Cole, Everett B. (1918-1977)|Millennium|PS|Science fiction, American|24779.txt
28486|Cole, Everett B. (1918-1977)|The Weakling|PS|Science fiction|28486.txt
24723|Cole, Everett B. (1918-1977)|Final Weapon|PS|Telepathy -- Fiction; Science fiction, American|24723.txt
22597|Cole, Les (1904-1985)|Question of Comfort|PS|Short stories; Science fiction|22597.txt
